goalCode	targetCode	indicatorCode	seriesCode	seriesDesc	TAGS
1	1.3	1.3.1	SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	['poverty', 'standard of living', 'basic needs', 'social welfare']
1	1.3	1.3.1	SI_COV_SOCASTPQ	[World Bank] Poorest quintile covered by social assistance programs (%)	['poverty', 'standard of living', 'basic needs', 'social welfare']
1	1.3	1.3.1	SI_COV_SOCINS	[World Bank] Proportion of population covered by social insurance programs (%)	['poverty', 'standard of living', 'basic needs', 'social welfare', 'insurance']
1	1.3	1.3.1	SI_COV_SOCINSPQ	[World Bank] Poorest quintile covered by social insurance programs (%)	['poverty', 'standard of living', 'basic needs', 'social welfare', 'insurance']
1	1.3	1.3.1	SI_COV_UEMP	[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)	['poverty', 'standard of living', 'basic needs', 'social welfare', 'unemployment insurance', 'unemployment', 'insurance']
1	1.3	1.3.1	SI_COV_VULN	[ILO] Proportion of vulnerable population receiving social assistance cash benefit (%)	['poverty', 'standard of living', 'basic needs', 'social welfare']
1	1.3	1.3.1	SI_COV_WKINJRY	[ILO] Proportion of employed population covered in the event of work injury (%)	['poverty', 'standard of living', 'basic needs', 'social welfare', 'occupational safety', 'occupational accidents', 'insurance']
1	1.5	1.5.1	VC_DSR_AFFCT	Number of people affected by disaster (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_DADN	Number damaged dwellings attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief']
1	1.5	1.5.1	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_DDHN	Number damaged dwellings attributed to disasters, by hazard type (number)	['disaster loss', 'disaster prevention', 'preparedness and relief']
1	1.5	1.5.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief']
1	1.5	1.5.1	VC_DSR_DYHN	Number destroyed dwellings attributed to disasters, by hazard type (number)	['disaster loss', 'disaster prevention', 'preparedness and relief']
1	1.5	1.5.1	VC_DSR_IJILN	Number of injured or ill people attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_MISS	Number of missing persons due to disaster (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_MMHN	Number of deaths and missing persons attributed to disasters, by hazard type (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_MORT	Number of deaths due to disaster (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_MTMN	Number of deaths and missing persons attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_MTMP	Number of deaths and missing persons attributed to disasters per 100,000 population (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_PDLN	Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_PDYN	Number of people whose destroyed dwellings were attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.2	VC_DSR_AGLH	Direct agriculture loss attributed to disasters, by hazard type (millions of current United States dollars)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims', 'sustainable agriculture']
1	1.5	1.5.2	VC_DSR_AGLN	Direct agriculture loss attributed to disasters (millions of current United States dollars)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims', 'sustainable agriculture']
1	1.5	1.5.2	VC_DSR_CHLN	Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars)	['disaster loss', 'disaster prevention', 'preparedness and relief']
1	1.5	1.5.2	VC_DSR_CILN	Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (millions of current United States dollars)	['disaster loss', 'disaster prevention', 'preparedness and relief']
1	1.5	1.5.2	VC_DSR_GDPLS	Direct economic loss attributed to disasters (millions of current United States dollars)	['disaster loss', 'disaster prevention', 'preparedness and relief']
1	1.5	1.5.2	VC_DSR_HOLH	Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)	['disaster loss', 'disaster prevention', 'preparedness and relief']
1	1.5	1.5.2	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	['disaster loss', 'disaster prevention', 'preparedness and relief']
1	1.5	1.5.2	VC_DSR_LSGP	Direct economic loss attributed to disasters relative to GDP (%)	['disaster loss', 'disaster prevention', 'preparedness and relief']
1	1.5	1.5.3	SG_DSR_LEGREG	Countries with legislative and/or regulatory provisions been made for managing disaster risk (1 = YES; 0 = NO)	['means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']
1	1.5	1.5.3	SG_DSR_LGRGSR	Score of adoption and implementation of national DRR strategies in line with the Sendai Framework	['means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']
1	1.5	1.5.4	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	['local governments', 'means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']
1	1.5	1.5.4	SG_DSR_SILS	Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%)	['local governments', 'means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']
1	1.5	1.5.4	SG_GOV_LOGV	Number of local governments (number)	['local governments']
1	1.a	1.a.2	SD_XPD_ESED	Proportion of total government spending on essential services, education (%)	['local governments', 'means of implementation']
10	10.1	10.1.1	SI_HEI_BTN40	Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%)	['income distribution']
10	10.1	10.1.1	SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	['income distribution']
10	10.4	10.4.1	SL_EMP_GTOTL	Labour share of GDP, comprising wages and social protection transfers (%)	['income distribution', 'wages', 'social security']
10	10.5	10.5.1	FI_FSI_FSANL	Non-performing loans to total gross loans (%)	['financial aspects', 'risk management']
10	10.5	10.5.1	FI_FSI_FSERA	Return on assets (%)	['financial aspects', 'investment returns']
10	10.5	10.5.1	FI_FSI_FSKA	Regulatory capital to assets (%)	['financial aspects', 'risk management']
10	10.5	10.5.1	FI_FSI_FSKNL	Non-performing loans net of provisions to capital (%)	['financial aspects', 'risk management']
10	10.5	10.5.1	FI_FSI_FSKRTC	Regulatory Tier 1 capital to risk-weighted assets (%)	['financial aspects', 'risk management']
10	10.5	10.5.1	FI_FSI_FSLS	Liquid assets to short term liabilities (%)	['financial aspects', 'risk management']
10	10.5	10.5.1	FI_FSI_FSSNO	Net open position in foreign exchange to capital (%)	['financial aspects', 'risk management']
10	10.6	10.6.1	SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	['equality of states', 'intergovernmental organizations', 'developing countries']
10	10.6	10.6.1	SG_INT_VRTDEV	Proportion of voting rights of developing countries in international organizations, by organization (%)	['equality of states', 'intergovernmental organizations', 'developing countries']
10	10.a	10.a.1	TM_TRF_ZERO	Proportion of tariff lines applied to imports with zero-tariff (%)	['means of implementation', 'international trade', 'developing countries', 'least developed countries']
10	10.b	10.b.1	DC_TRF_TFDV	Total resource flows for development, by recipient and donor countries (millions of current United States dollars)	['means of implementation', 'development finance', 'development assistance']
10	10.b	10.b.1	DC_TRF_TOTDL	Total assistance for development, by donor countries (millions of current United States dollars)	['means of implementation', 'development finance', 'development assistance']
10	10.b	10.b.1	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	['means of implementation', 'development finance', 'development assistance']
10	10.c	10.c.1	SI_RMT_COST	Remittance costs as a proportion of the amount remitted (%)	['means of implementation', 'development finance', 'remittances']
11	11.1	11.1.1	EN_LND_SLUM	Proportion of urban population living in slums (%)	['cities', 'human settlements', 'poverty', 'urban settlements', 'slums']
1	1.5	1.5.1	VC_DSR_AFFCT	Number of people affected by disaster (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_DADN	Number damaged dwellings attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief']
1	1.5	1.5.1	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_DDHN	Number damaged dwellings attributed to disasters, by hazard type (number)	['disaster loss', 'disaster prevention', 'preparedness and relief']
1	1.5	1.5.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief']
1	1.5	1.5.1	VC_DSR_DYHN	Number destroyed dwellings attributed to disasters, by hazard type (number)	['disaster loss', 'disaster prevention', 'preparedness and relief']
1	1.5	1.5.1	VC_DSR_IJILN	Number of injured or ill people attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_MISS	Number of missing persons due to disaster (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_MMHN	Number of deaths and missing persons attributed to disasters, by hazard type (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_MORT	Number of deaths due to disaster (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_MTMN	Number of deaths and missing persons attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_MTMP	Number of deaths and missing persons attributed to disasters per 100,000 population (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_PDLN	Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_PDYN	Number of people whose destroyed dwellings were attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.2	VC_DSR_AGLH	Direct agriculture loss attributed to disasters, by hazard type (millions of current United States dollars)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims', 'sustainable agriculture']
1	1.5	1.5.2	VC_DSR_AGLN	Direct agriculture loss attributed to disasters (millions of current United States dollars)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims', 'sustainable agriculture']
11	11.5	11.5.2	VC_DSR_BSDN	Number of disruptions to basic services attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'physical infrastructure']
11	11.5	11.5.2	VC_DSR_CDAN	Number of damaged critical infrastructure attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'physical infrastructure']
11	11.5	11.5.2	VC_DSR_CDYN	Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'physical infrastructure']
1	1.5	1.5.2	VC_DSR_CHLN	Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars)	['disaster loss', 'disaster prevention', 'preparedness and relief']
1	1.5	1.5.2	VC_DSR_CILN	Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (millions of current United States dollars)	['disaster loss', 'disaster prevention', 'preparedness and relief']
11	11.5	11.5.2	VC_DSR_EFDN	Number of destroyed or damaged educational facilities attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'education', 'educational facilities', 'physical infrastructure']
11	11.5	11.5.2	VC_DSR_ESDN	Number of disruptions to educational services attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'education', 'educational facilities', 'physical infrastructure']
1	1.5	1.5.2	VC_DSR_GDPLS	Direct economic loss attributed to disasters (millions of current United States dollars)	['disaster loss', 'disaster prevention', 'preparedness and relief']
11	11.5	11.5.2	VC_DSR_HFDN	Number of destroyed or damaged health facilities attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'health', 'physical infrastructure']
1	1.5	1.5.2	VC_DSR_HOLH	Direct economic loss in the housing sector attributed to disasters, by hazard type (millions of current United States dollars)	['disaster loss', 'disaster prevention', 'preparedness and relief']
1	1.5	1.5.2	VC_DSR_HOLN	Direct economic loss in the housing sector attributed to disasters (millions of current United States dollars)	['disaster loss', 'disaster prevention', 'preparedness and relief']
11	11.5	11.5.2	VC_DSR_HSDN	Number of disruptions to health services attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'health', 'physical infrastructure']
1	1.5	1.5.2	VC_DSR_LSGP	Direct economic loss attributed to disasters relative to GDP (%)	['disaster loss', 'disaster prevention', 'preparedness and relief']
11	11.5	11.5.2	VC_DSR_OBDN	Number of disruptions to other basic services attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'physical infrastructure']
11	11.6	11.6.1	EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	['cities', 'human settlements', 'sanitation']
11	11.6	11.6.2	EN_ATM_PM25	Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)	['cities', 'human settlements', 'health', 'pollution', 'air pollution']
1	1.5	1.5.3	SG_DSR_LEGREG	Countries with legislative and/or regulatory provisions been made for managing disaster risk (1 = YES; 0 = NO)	['means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']
1	1.5	1.5.3	SG_DSR_LGRGSR	Score of adoption and implementation of national DRR strategies in line with the Sendai Framework	['means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']
1	1.5	1.5.4	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	['local governments', 'means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']
1	1.5	1.5.4	SG_DSR_SILS	Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%)	['local governments', 'means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']
1	1.5	1.5.4	SG_GOV_LOGV	Number of local governments (number)	['local governments']
12	12.1	12.1.1	SG_SCP_CNTRY	Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)	['sustainable consumption', 'sustainable production', 'development planning ']
12	12.1	12.1.1	SG_SCP_CORMEC	Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO)	['sustainable consumption', 'sustainable production', 'development planning ']
12	12.1	12.1.1	SG_SCP_MACPOL	Countries with macro policy for sustainable consumption and production (1 = YES; 0 = NO)	['sustainable consumption', 'sustainable production', 'development planning ']
12	12.1	12.1.1	SG_SCP_POLINS	Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)	['sustainable consumption', 'sustainable production', 'development planning ']
8	8.4	8.4.2	EN_MAT_DOMCMPC	Domestic material consumption per capita, by type of raw material (tonnes)	['economic growth']
8	8.4	8.4.2	EN_MAT_DOMCMPG	Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)	['economic growth']
8	8.4	8.4.2	EN_MAT_DOMCMPT	Domestic material consumption, by type of raw material (tonnes)	['economic growth']
12	12.4	12.4.1	SG_HAZ_CMRBASEL	Compliance with the Basel Convention on hazardous waste and other chemicals	['hazardous wastes', 'international instruments']
12	12.4	12.4.1	SG_HAZ_CMRMNTRL	Compliance with the Montreal Protocol on hazardous waste and other chemicals	['hazardous wastes', 'international instruments']
12	12.4	12.4.1	SG_HAZ_CMRROTDAM	Compliance with the Rotterdam Convention on hazardous waste and other chemicals	['hazardous wastes', 'international instruments']
12	12.4	12.4.1	SG_HAZ_CMRSTHOLM	Compliance with the Stockholm Convention on hazardous waste and other chemicals	['hazardous wastes', 'international instruments']
12	12.c	12.c.1	ER_FFS_PRTSPC	Fossil-fuel pre-tax subsidies (consumption and production) per capita (current United States dollars)	['subsidies', 'fossil fuels']
12	12.c	12.c.1	ER_FFS_PRTSPR	Fossil-fuel pre-tax subsidies (consumption and production) as a proportion of total GDP (%)	['subsidies', 'fossil fuels']
12	12.c	12.c.1	ER_FFS_PRTSST	Fossil-fuel pre-tax subsidies (consumption and production) (billions of current United States dollars)	['subsidies', 'fossil fuels']
1	1.5	1.5.1	VC_DSR_AFFCT	Number of people affected by disaster (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_DADN	Number damaged dwellings attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief']
1	1.5	1.5.1	VC_DSR_DAFF	Number of directly affected persons attributed to disasters per 100,000 population (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_DDHN	Number damaged dwellings attributed to disasters, by hazard type (number)	['disaster loss', 'disaster prevention', 'preparedness and relief']
1	1.5	1.5.1	VC_DSR_DYDN	Number destroyed dwellings attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief']
1	1.5	1.5.1	VC_DSR_DYHN	Number destroyed dwellings attributed to disasters, by hazard type (number)	['disaster loss', 'disaster prevention', 'preparedness and relief']
1	1.5	1.5.1	VC_DSR_IJILN	Number of injured or ill people attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_MISS	Number of missing persons due to disaster (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_MMHN	Number of deaths and missing persons attributed to disasters, by hazard type (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_MORT	Number of deaths due to disaster (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_MTMN	Number of deaths and missing persons attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_MTMP	Number of deaths and missing persons attributed to disasters per 100,000 population (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_PDAN	Number of people whose damaged dwellings were attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_PDLN	Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.1	VC_DSR_PDYN	Number of people whose destroyed dwellings were attributed to disasters (number)	['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']
1	1.5	1.5.3	SG_DSR_LEGREG	Countries with legislative and/or regulatory provisions been made for managing disaster risk (1 = YES; 0 = NO)	['means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']
1	1.5	1.5.3	SG_DSR_LGRGSR	Score of adoption and implementation of national DRR strategies in line with the Sendai Framework	['means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']
1	1.5	1.5.4	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	['local governments', 'means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']
1	1.5	1.5.4	SG_DSR_SILS	Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%)	['local governments', 'means of implementation', 'disaster prevention', 'preparedness and relief', 'laws and regulations']
1	1.5	1.5.4	SG_GOV_LOGV	Number of local governments (number)	['local governments']
14	14.4	14.4.1	ER_H2O_FWTL	Proportion of fish stocks within biologically sustainable levels (not overexploited) (%)	['marine resources', 'marine ecosystems', 'living marine resources', 'fisheries', 'oceans']
14	14.5	14.5.1	ER_MRN_MARIN	Coverage of protected areas in relation to marine areas (Exclusive Economic Zones) (%)	['marine resources', 'marine ecosystems', 'living marine resources', 'national parks and protected areas', 'oceans', 'biological diversity']
14	14.5	14.5.1	ER_MRN_MARINT	Protected marine area (Exclusive Economic Zones) (square kilometres)	['marine resources', 'marine ecosystems', 'living marine resources', 'national parks and protected areas', 'oceans', 'biological diversity']
14	14.5	14.5.1	ER_MRN_MPA	Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)	['marine resources', 'marine ecosystems', 'living marine resources', 'national parks and protected areas', 'oceans', 'biological diversity']
14	14.6	14.6.1	ER_REG_UNFCIM	Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing (level of implementation: 1 lowest to 5 highest)	['marine resources', 'marine ecosystems', 'international instruments', 'fishing']
14	14.a	14.a.1	ER_RDE_OSEX	National ocean science expenditure as a share of total research and development funding (%)	['means of implementation', 'research and development', 'marine resources', 'marine ecosystems']
14	14.b	14.b.1	ER_REG_SSFRAR	Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest)	['means of implementation', 'marine resources', 'marine ecosystems', 'fishing']
15	15.1	15.1.1	AG_LND_FRST	Forest area as a proportion of total land area (%)	['terrestrial ecosystems', 'forest ecosystems', 'national parks and protected areas', 'forests', 'biological diversity', 'natural resources']
15	15.1	15.1.1	AG_LND_FRSTN	Forest area (thousands of hectares)	['terrestrial ecosystems', 'forest ecosystems', 'national parks and protected areas', 'forests', 'biological diversity', 'natural resources']
15	15.1	15.1.1	AG_LND_TOTL	Land area (thousands of hectares)	['terrestrial ecosystems', 'forest ecosystems', 'national parks and protected areas', 'forests', 'biological diversity', 'natural resources']
15	15.1	15.1.2	ER_PTD_FRWRT	Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)	['water', 'freshwater', 'biological diversity', 'freshwater ecosystems', 'natural resources', 'national parks and protected areas']
15	15.1	15.1.2	ER_PTD_TERRS	Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)	['water', 'freshwater', 'biological diversity', 'freshwater ecosystems', 'natural resources', 'national parks and protected areas']
15	15.2	15.2.1	AG_LND_FRSTBIOPHA	Above-ground biomass in forest per hectare (tonnes per hectare)	['terrestrial ecosystems', 'forest ecosystems', 'natural resources', 'forests']
15	15.2	15.2.1	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	['terrestrial ecosystems', 'forest ecosystems', 'natural resources', 'forests', 'forest management']
15	15.2	15.2.1	AG_LND_FRSTCHG	Forest area net change rate (%)	['terrestrial ecosystems', 'forest ecosystems', 'natural resources', 'forests']
15	15.2	15.2.1	AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	['terrestrial ecosystems', 'forest ecosystems', 'natural resources', 'forests', 'forest management']
15	15.2	15.2.1	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	['terrestrial ecosystems', 'forest ecosystems', 'natural resources', 'forests', 'forest management', 'national parks and protected areas']
15	15.4	15.4.1	ER_PTD_MOTN	Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%)	['terrestrial ecosystems', 'mountain ecosystems', 'national parks and protected areas', 'biological diversity', 'natural resources']
15	15.4	15.4.2	ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	['terrestrial ecosystems', 'mountain ecosystems', 'natural resources']
15	15.4	15.4.2	ER_MTN_GRNCVI	Mountain Green Cover Index	['terrestrial ecosystems', 'mountain ecosystems', 'natural resources']
15	15.4	15.4.2	ER_MTN_TOTL	Mountain area (square kilometres)	['terrestrial ecosystems', 'mountain ecosystems', 'natural resources']
15	15.5	15.5.1	ER_RSK_LSTI	Red List Index	['endangered species', 'biological diversity', 'genetic resources']
15	15.6	15.6.1	ER_CBD_ABSCLRHS	Countries that have legislative, administrative and policy framework or measures reported to the Access and Benefit-Sharing Clearing-House (1 = YES; 0 = NO)	['laws and regulations', 'international instruments', 'biological diversity', 'genetic resources']
15	15.6	15.6.1	ER_CBD_NAGOYA	Countries that are parties to the Nagoya Protocol (1 = YES; 0 = NO)	['international instruments', 'biological diversity', 'genetic resources']
15	15.6	15.6.1	ER_CBD_ORSPGRFA	Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance  of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO)	['laws and regulations', 'international instruments', 'biological diversity', 'genetic resources', 'sustainable agriculture']
15	15.6	15.6.1	ER_CBD_PTYPGRFA	Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO)	['international instruments', 'biological diversity', 'genetic resources', 'sustainable agriculture']
15	15.a	15.a.1	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor countries (millions of constant 2016 United States dollars)	['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']
15	15.a	15.a.1	DC_ODA_BDVL	Total official development assistance for biodiversity, by recipient countries (millions of constant 2016 United States dollars)	['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']
15	15.a	15.a.1	DC_ODA_BDVDL	Total official development assistance for biodiversity, by donor countries (millions of constant 2016 United States dollars)	['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']
